gene_names,BRCA
L3MBTL1,
PSMD13,PSMD13
EVI2B,
AIDA,
RPS23,RPS23
ESPN,ESPNL;ESPNP;ESPN
NAP1L1,NAP1L1
MT1X,MT1X
TET3,TET3
SPRY4,SPRY4
TUBB4B,
ZP3,ZP3
GAGE2A,GAGE2A
RPS2P46,
FAM217B,
SUPT5H,SUPT5H
XRCC6,XRCC6BP1;XRCC6
HDAC2,HDAC2
TRAPPC4,TRAPPC4
ANKRD36B,ANKRD36BP1;ANKRD36B
ACSL5,ACSL5
ABCB8,ABCB8
TRIM33,TRIM33
GSTK1,GSTK1
RPF2,
MIB2,
SSPO,
TFDP1,TFDP1
ZKSCAN8,
BAZ1A,BAZ1A
RCSD1,RCSD1
MTOR,MTOR
SMC5,SMC5
TOP1,TOP1MT;TOP1P1;TOP1P2;TOP1
L1CAM,L1CAM
SNHG5,SNHG5
RNF5,RNF5P1;RNF5
MRPL38,MRPL38
SNHG32,
MSH5,
ABHD16A,
NFKBIL1,NFKBIL1
DHX16,DHX16
PPP1R10,PPP1R10
TRIM27,TRIM27
STAG3L1,STAG3L1
GAGE1,GAGE12D;GAGE12J;GAGE1
TSN,TSNAX;TSN
MAGEA12,MAGEA12
ARL2,ARL2BP;ARL2
RPLP0P6,
LEPROT,LEPROT
LBH,LBH
MYCBP,MYCBP2;MYCBP
SMIM30,
HNRNPUL2,
FNIP1,
NUTM2A-AS1,
TSSC2,
ARL17B,ARL17B
HBBP1,HBBP1
GOLGA6L5P,
MCTS1,MCTS1
SNHG15,
GAS5,GAS5
H3P6,
PSMB9,PSMB9
AQP1,AQP12B;AQP1
